sp_ID,scientific_name,updated_name,matK,trnL,other,notes
acac cons,Acacia Constricta,,,,,
acac greg,Acacia gregii,,,,,
alli inca,Allionia incarnata,,,,,
amar palm,Amaranthus palmeri,,,,,
ambr arte,Ambrosia artemisifolia,,,,,
ammo chen,Ammocodon chenopodioides,,,,,
amsi inte,,,,,,
amsi tess,,,,,,
apod undu,Apondanthera undulata,,,,,
aris adsc,Aristida adscensionis,,,,,
aris long,Aristida longiseta,,,,,
astr allo,,,,,,
astr nutt,,,,,,
atri acan,,,,,,
bahi absi,Bahia absinthifolia,,,,,
bail mult,Baileya multiradiata,,,,,
boer cocc,Boerhaavia coccinea,,,,,
boer inte,Boerhaavia intermedia,,,,,
boer torr,Boerhaavia torreyana,,,,,
bout aris,Bouteloua aristidoides,,,,,
bout barb,Bouteloua barbata,,,,,
bout dact,,,,,,
bout erio,Bouteloua eriopoda,,,,,
bric eupa,,,,,,
cass bauh,Cassia bauhinioides,,,,,
cass lept,Cassia leptadenia,,,,,
chae stev,,,,,,
chen sp,Chenopodium fremontii,,,,,
chlo virg,Chloris virgata,,,,,
comm erec,Commelina erecta,,,,,
crot cory,Croton corymbulosa ,,,,,
crot pumi,Crotalaria pumila ,,,,,
cryp cras,,,,,,
cryp micr,,,,,,
cusc sp,,,,,,
dale brac,Dalea brachystachys,,,,,
dale nana,Dalea nana,,,,,
dale pogo,Dalea pogonathera,,,,,
desc obtu,,,,,,
desc pinn,,,,,,
dich pulc,,,,,,
dith wisl,,,,,,
ephe trif,Ephedra trifurca,,,,,
erag arid,Eragrostis arida,,,,,
erag cili,Eragrostis cilianensis,,,,,
erag inte,,,,,,
erag lehm,Eragrostis lehmanniana,,,,,
eria diff,,,,,,
erig dive,Erigeron divergens,,,,,
erio aber,Eriogonum abertianum,,,,,
erio lemm,Eriochloa lemmoni,,,,,
erio poly,Eriogonum polycladon,,,,,
erod cicu,Erodium cicutarium,,,,,
erod texa,,,,,,
esch mexi,,,,,,
euph exst,,,,,,
euph micr,Euphorbia micromera,,,,,
euph serp,Euphorbia serpyllifolia,,,,,
euph serr,Euphorbia serrula,,,,,
euro lana,Eurotia lanata,,,,,
flou cern,Flourensia cernua,,,,,
gili sinu,,,,,,
guti saro,Gutierrezia sarothrae,,,,,
hapl grac,Haplopappus gracilis,,,,,
hapl spin,Haplopappus spinulosus,,,,,
hapl tenu,Haplopappus tenuisectus,,,,,
hete suba,,,,,,
hila muti,Hilaria mutica,,,,,
hoff dens,Hoffmanseggia densiflora,,,,,
ipom cost,Ipomoea costellata,,,,,
kall cali,,,,,,
kall gran,Kallstroemia grandiflora,,,,,
kall hirs,,,,,,
laen coul,,,,,,
lapp redo,,,,,,
lepi lasi,,,,,,
lesq gord,,,,,,
lina bige,,,,,,
lina texa,,,,,,
lupi conc,,,,,,
lyci torr,Lycium torreyi,,,,,
lycu phle,Lycurus phleoides,,,,,
mach tanr,,,,,,
mala fend,,,,,,
micr lene,,,,,,
moll cerv,,,,,,
moll vert,,,,,,
muhl port,,,,,,
nama hisp,,,,,,
oeno prim,,,,,,
pani ariz,,,,,,
pani hirt,,,,,,
pani mili,,,,,,
pect papp,,,,,,
pect recu,,,,,,
pere forb,,,,,,
pere gras,,,,,,
pere nana,,,,,,
phac ariz,,,,,,
plag ariz,,,,,,
plan purs,,,,,,
pros glan,,,,,,
pseu cane,,,,,,
rume hyme,,,,,,
sals kali,,,,,,
sanv aber,,,,,,
sida proc,,,,,,
sida spin,,,,,,
sisy irio,,,,,,
sita hyst,,,,,,
sola elea,,,,,,
sper echi,,,,,,
spha angu,,,,,,
spha coul,,,,,,
spha inca,,,,,,
spha laxa,,,,,,
tali angu,,,,,,
tali aura,,,,,,
tide lanu,,,,,,
trag bert,,,,,,
tria port,,,,,,
trid pulc,,,,,,
vulp octo,,,,,,
zinn gran,,,,,,
zinn pumi,,,,,,
